TIC,CTOI,Transit Epoch,Period (exofop),Period (TEV),Planet Radius,Duration,Depth,TFOPWG Disposition,TEV Disposition,Notes,CTOI Category
364400981.0,364400981.01,,1.94,,,,,,FP (EB),"All data obtained using the LightKurve framework; has a report made, but I think this is an EB with a slightly eccentric orbit. There is a significant secondary just beyond phase 0.5.",
10697188.0,10697188.01,,5.44,,,,,,FP(EB),"Camera 2, CCD 1, Column 2051, Row 1597, Sector 18, Mission TESS",
10697190.0,10697190.01,,5.44,,,,,,FP(EB),"Camera 2, CCD 1, Column 2051, Row 1597, Sector 18, Mission TESS",
28799599.0,28799599.01,,3.577,,,,,,FP(EB),"hot Jupiter candidate around evolved star. nearby companion, needs SG1 followup; off target according to difference image",
37692356.0,37692356.01,,2.7,,,,,,FP(EB),"Camera 2. CCD 3, Column 1887, Row 1839, Sector 8, Possible binary system; secondary visible in Y1 QLP; Rp ~ 32 Re; EB",
46029346.0,46029346.01,,1.381,,,,,,FP(EB),Synchronized with stellar variability; large,
83703886.0,83703886.01,,0.58,,,,,,FP(EB),"Camera 1, CCD 4, Column 535, Row 642, Sector 11; QLP report at 2x CTOI period has strong odd-even; likely EB",
92880493.0,92880493.01,,1.04,,,,,,FP(EB),"All data are obtained using the TESS data and LightKurve Framework; FP: significant secondary, V-shaped, and has significant depth-aperture correlation ",
120861864.0,120861864.01,,18,,,,,,FP(EB),"Camera 2, CCD 1, Column 1817, Row 239, Sector 10; clear odd-even in QLP report with 2x CTOI period; Rp ~ 83 Re",
138772345.0,138772345.01,,8.57,,,,,,FP(EB),"Camera 1, CCD 2, Column 1193, Row 1317, Sector 22; Rp ~ 69 Re from QLP report with same period and epoch; secondary",
178414921.0,178414921.01,,1.2,,,,,,FP(EB),"Camera 2, CCD 2, Column 2018, Row 1017, Sector 9; v-shaped; Rp ~43.5 Re",
186941307.0,186941307.01,,1.05,,,,,,FP(EB),"Camera 1, CCD 2, Column 1063, Row 964, Sector 18; off target EB; significant depth-aperture correlation",
202152389.0,202152389.01,,8.43,,,,,,FP(EB),"Camera 2, CCD 1, Column 1885, Row 1962, Sector 17, unclear orbital period; Rp ~ 125 Re;",
224327878.0,224327878.01,,0.67,0.66997,,,,,FP(EB),34 transits; either full transit or nearly full.,
234945462.0,234945462.01,,7.08,,,,,,FP(EB),"Camera 1, CCD 2, Column 965, Row 1422, Sector 6; period is off in qlp report; eccentric eclipsing binary",
302926645.0,302926645.01,,,,,,,,FP(EB),Found with our in-house single transit finder; off target in SPOC s6,
311413113.0,311413113.01,,18.66,,,,,,FP(EB),"Camera 2, CCD 2, Column 1261, Row 164, Sector 12; off-target EB; significant depth aperture correlation and secondary",
399868187.0,399868187.02,,6.485,,,,,,FP(EB),WINE hot Jupiter; TFOPWG FP; NEB,
428962300.0,428962300.01,,2.942,,,,,,FP(EB),hot Jupiter candidate around evolved star; EB at 2x CTOI period; CTOI is likely secondaries,
438591493.0,438591493.01,,7.98,,,,,,FP(EB),"Camera 2, CCD 4, Column 1178, Row 446, Sector 11; ; secondary visible in Y1 QLP; Rp ~ 29.3 Re; EB",
438727861.0,438727861.01,,3.46,,,,,,FP(EB),"Camera 2, CCD 4, Column 341, Row 1818, Sector 11; eclipsing binary (15 sigma odd-even)",
444222135.0,444222135.01,,3.038,,,,,,FP(EB),Eccentric EB from outside sources,
450087539.0,450087539.01,,1.75,,,,,,FP(EB),"Camera 1, CCD 3, Column 1173, Row 1470, Sector 5; Rp ~ 35.4 Re in Y1 qlp",
8963901.0,8963901.01,,0.485,0.9639,,,,,FP(EB),Rp = 300 Re; non-transit signal,
13093071.0,13093071.01,,,25.0001,,,,,FP(EB),WINE single transit,
29667425.0,29667425.01,,,8.1135,,,,,FP(EB),Single transit; centroid offset but not centered on anything; background light spikes at epoch 1342,
39018208.0,39018208.02,,6.66,6.6493; 6.6495,,,,,FP(EB),2000 ppm secondary,
55659311.0,55659311.01,,,16.805; 16.756,,,,,FP(EB),Rp = 90 Re,
55659311.0,55659311.02,,,16.805; 16.756,,,,,FP(EB),Rp = 90 Re,
61710042.0,61710042.01,,1.888,0.94555,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
65450588.0,65450588.01,,0.649,0.64873,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
67747088.0,67747088.01,,,"6.7058, 12.7231",,,,,FP(EB),v-shaped; weak; centroid offset; Found with our in-house single transit finder; additional partial transit; Sector 32,
72985912.0,72985912.01,,1.68,1.68051,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
91369561.0,91369561.01,,0.077,3.9837; 3.9875,,,,,FP(EB),Rp = 77 Re,
92349924.0,92349924.02,,,8.8031; 12.1403,,,,,FP(EB),Rp = 27 Re; v-shaped,
92349924.0,92349924.03,,,8.8031; 12.1403,,,,,FP(EB),Rp = 27 Re; v-shaped,
92896631.0,92896631.01,,5.639,5.6583,,,,,FP(EB),Looks good but could be too large; odd-even; recon spectra shows composite; likely SB2,
100029948.0,100029948.01,,2.778,1.3888,,,,,FP(EB),Rp = 79 Re; odd-even,
100029948.0,100029948.02,,2.775,1.3888,,,,,FP(EB),Rp = 79 Re; odd-even,
124852105.0,124852105.01,,0.27,0.26952,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
130469151.0,130469151.01,,2.403,,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
135243705.0,135243705.01,,2.659,2.65926,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
138941853.0,138941853.01,,11.59,11.6007,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
139825840.0,139825840.01,,7.668,3.844,,,,,FP(EB),Rp = 267 Re,
139825840.0,139825840.02,,7.701,3.844,,,,,FP(EB),Rp = 267 Re,
141268467.0,141268467.01,,4.181,2.0902; 2.0889,,,,,FP(EB),Rp = 164 Re,
141268467.0,141268467.02,,4.175,2.0902; 2.0889,,,,,FP(EB),Rp = 164 Re,
141307678.0,141307678.01,,15.891,7.9419,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
141622065.0,141622065.01,,2.952,1.464,,,,,FP(EB),Rp = 164 Re,
141622065.0,141622065.02,,3,1.464,,,,,FP(EB),Rp = 164 Re,
141809359.0,141809359.01,,12.149,12.1585; 12.1574,,,,,FP(EB),Rp = 179 Re,
150429807.0,150429807.01,,,26.2247; 15.2182,,,,,FP(EB),Rp = 43 Re,
150442264.0,150442264.01,,1.653,14.4139; 38.1634; 2.9817; 11.8572; 2.9818; 2.9817; 10.7795; 5.9614; 11.5175; 2.9818,,,,,FP(EB),EB,
151940400.0,151940400.01,,3.558,3.5576,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
153077619.0,153077619.01,,18.083,6.0256,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
153734545.0,153734545.01,,3.22,3.219,,,,,FP(EB),"radius 77 earth radii; new CTOI likely member of NGC 2527     , PATHOS-14 in Nardiello et al. (2020)",
153735144.0,153735144.01,,3.779,3.7787,,,,,FP(EB),"radius 31 earth radii; new CTOI likely member of NGC 2527     , PATHOS-15 in Nardiello et al. (2020)",
158737091.0,158737091.01,,0.517,0.51718,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
178154917.0,178154917.01,,,"11.8511, 40.0917",,,,,FP(EB),WINE single transit,
180412528.0,180412528.01,,4.588,2.2936; 13.0032,,,,,FP(EB),Eccentric EB,
180412528.0,180412528.02,,4.589,2.2936; 13.0032,,,,,FP(EB),Eccentric EB,
198008002.0,198008002.01,,6.56,3.2797,,,,,FP(EB),"new CTOI; off target
",
200321330.0,200321330.01,,1.815,1.81523,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
201256771.0,201256771.01,,3.755,1.8806,,,,,FP(EB),Rp = 42 Re,
201256771.0,201256771.02,,3.767,1.8806,,,,,FP(EB),Rp = 42 Re,
204497617.0,204497617.02,,3.18,1.5892; 1.5892,,,,,FP(EB),EB,
206462116.0,206462116.01,,2.974,1.4837,,,,,FP(EB),Rp = 131 Re,
206462116.0,206462116.02,,2.969,1.4837,,,,,FP(EB),Rp = 131 Re,
207080350.0,207080350.02,,18.382,6.2375; 9.1069; 9.1069,,,,,FP(EB),EB,
214517366.0,214517366.01,,,20.9616,,,,,FP(EB),Single transit; Rp = 27 Re,
219254268.0,219254268.01,,6.955,6.95526,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
220076110.0,220076110.01,,4.808,4.80649,,,,,FP(EB),"new CTOI, Montalto et al. (2020); had odd-even in sector 6 but only 4 transits",
220402290.0,220402290.02,,0.722,0.7853; 0.7853,,,,,FP(EB),Rp = 52 Re,
220474209.0,220474209.02,,0.942,1.9603; 0.9811; 24.5475; 0.9801,,,,,FP(EB),EB,
220567625.0,220567625.01,,19.444,44.9483; 55.16; 51.3871; 18.6113; 10.4999; 55.5924,,,,,FP(EB),Rp = 68 Re,
220567625.0,220567625.02,,,44.9483; 55.16; 51.3871; 18.6113; 10.4999; 55.5924,,,,,FP(EB),Rp = 68 Re,
224307602.0,224307602.01,,0,17.215,,,,,FP(EB),Centroid offset on another star,
231833061.0,231833061.01,,,26.1556; 26.1877,,,,,FP(EB),EB,
231833061.0,231833061.02,,,26.1556; 26.1877,,,,,FP(EB),EB,
231860752.0,231860752.01,,0.989,1.9599,,,,,FP(EB),Rp = 43 Re,
233961334.0,233961334.01,,1.153,1.15256,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
234347951.0,234347951.01,,,23.3043; 6.1164,,,,,FP(EB),Rp = 104 Re,
234347951.0,234347951.02,,,23.3043; 6.1164,,,,,FP(EB),Rp = 104 Re,
251061007.0,251061007.01,,2.621,2.62081,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
253922296.0,253922296.02,,9.426,3.1386; 3.1417,,,,,FP(EB),Synchronized; secondary,
259784884.0,259784884.01,,,9.6613,,,,,FP(EB),First 2 events seem spurious; third is real,
260639999.0,260639999.01,,22.635,16.7643,,,,,FP(EB),Too faint for QLP; possible single; centroid offset in SPOC,
263074592.0,263074592.01,,8.376,19.5809; 16.3529; 8.0703,,,,,FP(EB),Rp = 288 Re,
263074592.0,263074592.02,,8.413,19.5809; 16.3529; 8.0703,,,,,FP(EB),Rp = 288 Re,
265469420.0,265469420.01,,,15.5267,,,,,FP(EB),Rp = 47 Re,
265469420.0,265469420.02,,,15.5267,,,,,FP(EB),Rp = 47 Re,
267185423.0,267185423.01,,,11.2268,,,,,FP(EB),Single transit; too large,
267608606.0,267608606.01,,0,8.3251,,,,,FP(EB),Multi or EB; investigate further,
270450687.0,270450687.02,,0,42.7131,,,,,FP(EB),Possibly EB primary transit to .01,
273792220.0,273792220.01,,1.987,28.822; 22.9961; 9.8263; 13.578; 18.2389; 0.9939,,,,,FP(EB),248 sigma odd-even,
273792220.0,273792220.02,,1.987,28.822; 22.9961; 9.8263; 13.578; 18.2389; 0.9939,,,,,FP(EB),248 sigma odd-even,
275083922.0,275083922.01,,7.404,2.9286; 14.8333,,,,,FP(EB),SPOC centroid offset centered near other star,
278683641.0,278683641.01,,4.252,4.2414; 4.2419,,,,,FP(EB),Rp = 74 Re,
278683641.0,278683641.02,,4.26,4.2414; 4.2419,,,,,FP(EB),Rp = 74 Re,
278784173.0,278784173.01,,1.497,0.7474,,,,,FP(EB),Rp = 35 Re,
278988794.0,278988794.01,,7.503,15.184; 7.5916,,,,,FP(EB),Rp = 59 Re,
278988794.0,278988794.02,,3.808,15.184; 7.5916,,,,,FP(EB),Rp = 59 Re,
278990954.0,278990954.01,,0,10.393,,,,,FP(EB),EB in GV,
287328866.0,287328866.01,,2.063,0.9616; 0.9614; 1.0384; 0.9616; 0.9616; 0.9616,,,,,FP(EB),Rp =27.5 Re; ruled EB,
287328866.0,287328866.02,,2.08,0.9616; 0.9614; 1.0384; 0.9616; 0.9616; 0.9616,,,,,FP(EB),Rp =27.5 Re; ruled EB,
290049697.0,290049697.01,,,12.4277,,,,,FP(EB),Single transit; too large to be planet,
300903537.0,300903537.03,,,5.823336,,,,,FP(EB),Primary/secondary,
302495337.0,302495337.01,,2.25,2.24778,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
304339227.0,304339227.01,,0,9.0521,,,,,FP(EB),Centroid offset,
306667367.0,306667367.01,,10.049,10.049,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
309658221.0,309658221.01,,7.587,3.7975,,,,,FP(EB),Rp = 37 Re,
309658221.0,309658221.02,,7.59,3.7975,,,,,FP(EB),Rp = 37 Re,
325469795.0,325469795.01,,,17.4569,,,,,FP(EB),Rp = 211 Re,
325469795.0,325469795.02,,,17.4569,,,,,FP(EB),Rp = 211 Re,
341492896.0,341492896.01,,3.732,3.7331,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
350479101.0,350479101.01,,,54.0977; 11.9169; 57.2133; 54.9704,,,,,FP(EB),Rp = 54 Re,
364302118.0,364302118.01,,1.347,34.8206; 0.6727; 0.6728; 0.6727,,,,,FP(EB),Odd-even,
364302118.0,364302118.02,,1.349,34.8206; 0.6727; 0.6728; 0.6727,,,,,FP(EB),Odd-even,
369456296.0,369456296.01,,,11.4021,,,,,FP(EB),Single transit; Rp = 25 Re; investigate further,
370324073.0,370324073.01,,,7.8428; 6.5837,,,,,FP(EB),Rp = 51 Re,
370324073.0,370324073.02,,,7.8428; 6.5837,,,,,FP(EB),Rp = 51 Re,
389927567.0,389927567.01,,6.941,6.9418,,,,,FP(EB),"new CTOI likely member of Melotte 101  , PATHOS-24 in Nardiello et al. (2020)",
394230860.0,394230860.01,,,10.9347,,,,,FP(EB),Rp = 147 Re,
394230860.0,394230860.02,,,10.9347,,,,,FP(EB),Rp = 147 Re,
404927661.0,404927661.01,,18.535,95.3949; 11.3702; 13.205; 88.3725,,,,,FP(EB),Rp = 72 Re,
404927661.0,404927661.02,,,95.3949; 11.3702; 13.205; 88.3725,,,,,FP(EB),Rp = 72 Re,
406276109.0,406276109.02,,7.556,7.5472; 7.5478,,,,,FP(EB),Secondary,
410126347.0,410126347.01,,1.413,1.4272,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
441056702.0,441056702.01,,6.342,,,,,,FP(EB),Single transit; scattered light; centroid offset; background flux spikes around epoch 1371,
441422527.0,441422527.01,,0.208,0.373; 0.3729,,,,,FP(EB),Rp = 65 Re,
11356662.0,11356662.01,,3.249,3.245846,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
25078924.0,25078924.01,,0.91,0.904341,,,,,FP(EB),Primary/secondary,
25078924.0,25078924.02,,0.9,0.904341,,,,,FP(EB),Primary/secondary,
25226885.0,25226885.01,,1.631,1.632095,,,,,FP(EB),Primary/secondary,
25226885.0,25226885.02,,1.63,1.632095,,,,,FP(EB),Primary/secondary,
25354620.0,25354620.01,,5.023,5.026564,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
29478974.0,29478974.01,,24.903,24.907366,,,,,FP(EB),Primary/secondary,
29478974.0,29478974.02,,12.458,12.453897,,,,,FP(EB),Primary/secondary,
29986808.0,29986808.01,,2.134,2.118708,,,,,FP(EB),Primary/secondary,
29986808.0,29986808.02,,2.123,2.118708,,,,,FP(EB),Primary/secondary,
12.84663084,30836645.01,,17.283,17.2833,,,,,FP(EB),Found with our in-house single transit finder,
31869740.0,31869740.01,,4.429,4.427,,,,,FP(EB),new CTOI; secondary,
32150630.0,32150630.01,,1.494,1.490921,,,,,FP(EB),Primary/secondary,
32150630.0,32150630.02,,1.489,1.490921,,,,,FP(EB),Primary/secondary,
39018208.0,39018208.01,,6.646,6.649337,,,,,FP(EB),,
41896812.0,41896812.01,,1.259,1.260549,,,,,FP(EB),Primary/secondary,
41896812.0,41896812.02,,1.263,1.260549,,,,,FP(EB),Primary/secondary,
46627823.0,46627823.01,,6.005,6.004997,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
50380257.0,50380257.01,,1.349,1.348477,,,,,FP(EB),Synchronized; secondary,
52079677.0,52079677.01,,9.035,9.029811,,,,,FP(EB),Primary/secondary,
52079677.0,52079677.02,,9.042,9.029811,,,,,FP(EB),Primary/secondary,
52449797.0,52449797.01,,2.45,4.899041,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
54256015.0,54256015.01,,4.904,4.9045,,,,,FP(EB),newCTOI; large likely EB; 1000 ppm secondary,
55404385.0,55404385.01,,2.95,2.952049,,,,,FP(EB),Primary/secondary,
55404385.0,55404385.02,,2.95,2.952049,,,,,FP(EB),Primary/secondary,
55497281.0,55497281.01,,14.903,14.90555,,,,,FP(EB),Primary/secondary,
55524055.0,55524055.01,,2.649,2.649465,,,,,FP(EB),Primary/secondary,
55524055.0,55524055.02,,2.649,2.649465,,,,,FP(EB),Primary/secondary,
70442570.0,70442570.01,,11.527,11.527153,,,,,FP(EB),Primary/secondary,
70442570.0,70442570.02,,11.5,11.527153,,,,,FP(EB),Primary/secondary,
78740218.0,78740218.01,,2.56,2.558682,,,,,FP(EB),,
91369561.0,91369561.02,,3.993,3.983716,,,,,FP(EB),Primary/secondary,
91369561.0,91369561.03,,3.992,3.983716,,,,,FP(EB),Primary/secondary,
92320552.0,92320552.01,,1.623,1.622,,,,,FP(EB),Preliminary Vetting with DAVE,
92350408.0,92350408.01,,2.956,2.957841,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
92594505.0,92594505.01,,22.869,22.870032,,,,,FP(EB),Too large,
99086567.0,99086567.01,,11.85,11.857,,,,,FP(EB),newCTOI,
102169275.0,102169275.01,,6.55,6.5499,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
115115136.0,115115136.01,,3.971,3.961847,,,,,FP(EB),,
115115136.0,115115136.02,,4,3.961847,,,,,FP(EB),,
115410334.0,115410334.01,,13.424,13.442,,,,,FP(EB),Centroid offset + depth-aperture correlation,
118084297.0,118084297.01,,15.803,15.803,,,,,FP(EB),newCTOI; Y1 and s36 SPOC shows eccentric EB,
118084297.0,118084297.01,,15.803,15.797,,,,,FP(EB),newCTOI,
121420805.0,121420805.01,,1.72,1.716666,,,,,FP(EB),Primary/secondary,
121420805.0,121420805.02,,1.72,1.716666,,,,,FP(EB),Primary/secondary,
122897814.0,122897814.01,,3.2,3.2003,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
126945917.0,126945917.01,,1.348,1.341009,,,,,FP(EB),Primary/secondary,
126945917.0,126945917.02,,1.342,1.341009,,,,,FP(EB),Primary/secondary,
129268651.0,129268651.01,,5.965,5.962751,,,,,FP(EB),,
135050395.0,135050395.01,,6.76,6.76,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
136886352.0,136886352.01,,2.722,1.3589,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
137205922.0,137205922.01,,3.3,3.2996,,,,,FP(EB),33 Re,
140659980.0,140659980.01,,9.442,9.440329,,,,,FP(EB),,
140659980.0,140659980.02,,9.438,9.440329,,,,,FP(EB),,
140736015.0,140736015.01,,7.314,7.313,,,,,FP(EB),52 Re,
141708335.0,141708335.01,,4.762,4.760993,,,,,FP(EB),Centroid offset centered on another star,
141770592.0,141770592.01,,12.125,12.12459,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
141809359.0,141809359.02,,12.161,12.158472,,,,,FP(EB),,
141943694.0,141943694.01,,1.836,1.83475,,,,,FP(EB),Centroid offset centered on another star,
142443425.0,142443425.01,,0.308,0.30825,,,,,FP(EB),new CTOI,
143924219.0,143924219.01,,2.818,2.820099,,,,,FP(EB),Primary/secondary,
143924219.0,143924219.02,,2.815,2.820099,,,,,FP(EB),Primary/secondary,
144000467.0,144000467.01,,8.883,8.883343,,,,,FP(EB),Primary/secondary,
144000467.0,144000467.02,,8.884,8.883343,,,,,FP(EB),Primary/secondary,
144284873.0,144284873.01,,0.893,0.893054,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
144462697.0,144462697.01,,1.233,1.233992,,,,,FP(EB),Primary/secondary,
144462697.0,144462697.02,,1.235,1.233992,,,,,FP(EB),Primary/secondary,
146129309.0,146129309.01,,3.214,3.2151,,,,,FP(EB),Some depth-aperture; PC in individual vetting; recon spectra show it's SB2,
147035057.0,147035057.01,,,11.5578,,,,,FP(EB),Found with our in-house single transit finder,
148158540.0,148158540.01,,1.849,1.849554,,,,,FP(EB),Eccentric EB,
150101472.0,150101472.01,,3.278,3.2784,,,,,FP(EB),new CTOI,
150442264.0,150442264.02,,2.982,2.981688,,,,,FP(EB),,
152223725.0,152223725.01,,4.432,4.43705,,,,,FP(EB),Primary/secondary,
152223725.0,152223725.02,,4.44,4.43705,,,,,FP(EB),Primary/secondary,
153123407.0,153123407.01,,0.257,0.25717,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
160036449.0,160036449.01,,1.897,1.893055,,,,,FP(EB),Primary/secondary,
160036449.0,160036449.02,,1.894,1.893055,,,,,FP(EB),Primary/secondary,
161577376.0,161577376.01,,8.29,8.2838,,,,,FP(EB),Preliminary Vetting with DAVE.  There are 3 transits with centroids.,
162694128.0,162694128.01,,1.334,2.6663,,,,,FP(EB),Centroid offset and 4-sigma secondary,
165493409.0,165493409.01,,9.112,9.1121,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
165531514.0,165531514.01,,3.108,3.1069,,,,,FP(EB),Centroid offset on another star,
167554898.0,167554898.01,,4.454,4.4536,,,,,FP(EB),new CTOI,
167692429.0,167692429.01,,10.257,10.290123,,,,,FP(EB),Primary/secondary,
167692429.0,167692429.02,,10.26,10.290123,,,,,FP(EB),Primary/secondary,
167792080.0,167792080.01,,3.254,3.25061,,,,,FP(EB),Centroid offset centered on another star,
177350401.0,177350401.01,,12.075,12.07461,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
191672086.0,191672086.01,,2.683,2.679475,,,,,FP(EB),,
197760286.0,197760286.01,,0.601,0.60128,,,,,FP(EB),new CTOI,
198382308.0,198382308.02,,2.0806,2.0802,,,,,FP(EB),Signal is secondary; centroid offset,
200324182.0,200324182.01,,1.297,1.297,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
201234926.0,201234926.01,,14.094,14.092215,,,,,FP(EB),Too large,
201293780.0,201293780.01,,0.94,0.938671,,,,,FP(EB),Primary/secondary,
201293780.0,201293780.02,,0.88,0.938671,,,,,FP(EB),Primary/secondary,
204327008.0,204327008.01,,0.32,0.323262,,,,,FP(EB),Primary/secondary,
204327008.0,204327008.02,,0.32,0.323262,,,,,FP(EB),Primary/secondary,
204497617.0,204497617.01,,1.59,1.589161,,,,,FP(EB),Too large; secondary,
206556127.0,206556127.01,,1.106,1.105503,,,,,FP(EB),Too large,
207080350.0,207080350.01,,9.106,9.106941,,,,,FP(EB),Eccentric EB,
211380233.0,211380233.01,,4.59,4.637339,,,,,FP(EB),,
214299966.0,214299966.01,,3.068,3.063765,,,,,FP(EB),Signal is secondary,
219095755.0,219095755.01,,8.908,8.9003,,,,,FP(EB),Centroid offset on another star,
219151731.0,219151731.01,,1.485,1.4853,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
219207175.0,219207175.01,,2.343,2.3428,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
219308281.0,219308281.01,,2.86,2.856943,,,,,FP(EB),Primary/secondary,
219308281.0,219308281.02,,2.85,2.856943,,,,,FP(EB),Primary/secondary,
219322317.0,219322317.01,,8.546,8.545,,,,,FP(EB),early year 1 report; priority 4/5; new CTOI,
219421728.0,219421728.01,,0.671,0.67115,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
219777401.0,219777401.01,,4.608,4.6099,,,,,FP(EB),Centroid offset on another star,
219780464.0,219780464.01,,1.001,1.0004,,,,,FP(EB),V-shaped; 4 sigma odd-even,
219865181.0,219865181.01,,1.118,1.116988,,,,,FP(EB),Centroid offset on another star,
220388567.0,220388567.01,,1.829,1.82361,,,,,FP(EB),Odd-even,
220402290.0,220402290.01,,0.783,0.785319,,,,,FP(EB),Primary/secondary,
220474209.0,220474209.01,,0.981,0.981124,,,,,FP(EB),Primary/secondary,
220523550.0,220523550.01,,13.524,13.496574,,,,,FP(EB),Primary/secondary,
220523550.0,220523550.02,,13.495,13.496574,,,,,FP(EB),Primary/secondary,
220595524.0,220595524.01,,10.741,5.3716,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
229487733.0,229487733.01,,13.338,"13.3127, 13.356999999999999",,,,,FP(EB),26 full transits,
229597404.0,229597404.01,,6.372,6.3725,,,,,FP(EB),Deep secondary away from phase 0.5,
229778990.0,229778990.01,,7.78,7.7757,,,,,FP(EB),Centroid offset on another star,
229808144.0,229808144.01,,11.611,11.610027,,,,,FP(EB),Primary/secondary,
229808144.0,229808144.02,,11.608,11.610027,,,,,FP(EB),Primary/secondary,
230023734.0,230023734.01,,10.063,20.137,,,,,FP(EB),"U-shaped, very weak & uncertain secondary.",
230050959.0,230050959.01,,1.128,2.2549,,,,,FP(EB),1350 ppm secondary,
231279823.0,231279823.01,,5.976,5.968964,,,,,FP(EB),Centroid offset centered on another star,
231714759.0,231714759.01,,5.486,5.450688,,,,,FP(EB),Primary/secondary,
231714759.0,231714759.02,,5.48,5.450688,,,,,FP(EB),Primary/secondary,
231840927.0,231840927.01,,0.818,0.8182,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
233051157.0,233051157.01,,0.72,0.72014,,,,,FP(EB),Centroid offset on another star,
233058265.0,233058265.01,,26.277,26.278,,,,,FP(EB),Deep secondary away from phase 0.5,
233208635.0,233208635.01,,8.742,8.7432,,,,,FP(EB),Depth-aperture correlation,
233714939.0,233714939.01,,2.2,2.1995,,,,,FP(EB),Secondary; depth-aperture correlation,
233744223.0,233744223.01,,44.562,44.559,,,,,FP(EB),26 Re at 44 d,
234503282.0,234503282.01,,1.438,1.439303,,,,,FP(EB),,
